,Country,Ridge,OLS,Lasso
0,Andorra,78.05,77.59,77.47
1,Antigua and Barbuda,74.93,74.85,74.84
2,"Bahamas, The",76.17,75.71,75.62
3,Comoros,54.71,54.20,54.35
4,Dominica,68.18,69.27,68.58
5,Eritrea,54.58,54.15,54.31
6,"Micronesia, Fed. Sts.",50.83,50.94,50.76
7,Guinea-Bissau,64.49,65.14,64.89
8,Equatorial Guinea,53.35,53.17,53.13
9,Grenada,69.56,69.02,70.41
10,Kiribati,64.33,65.11,64.70
11,St. Kitts and Nevis,58.08,58.15,58.31
12,Libya,78.93,78.36,78.30
13,St. Lucia,60.25,60.62,61.45
14,Liechtenstein,64.61,64.72,65.82
15,Monaco,78.93,78.36,78.30
16,Marshall Islands,71.69,71.73,72.48
17,Nauru,77.30,75.66,77.41
18,Palau,69.82,69.93,71.10
19,"Korea, Dem. Rep.",78.93,78.36,78.30
20,Solomon Islands,66.15,64.86,65.49
21,San Marino,56.27,56.55,57.53
22,Seychelles,75.75,75.57,75.56
23,Timor-Leste,66.90,66.48,66.69
24,Tonga,72.72,71.17,71.95
25,Tuvalu,56.21,57.27,56.68
26,St. Vincent and the Grenadines,68.61,68.94,70.01
27,Samoa,66.28,66.34,67.38
